,beta,momentum,volatility,liquidity,autocorrelation,spread
AES,1.310584185859743,0.1186576451451884,0.03275437995549102,2725775.0,0.11826430095676851,0.0408809929521356
LNT,0.5064359446960501,0.06716392893186951,0.010890164708155691,580950.0,0.013802443561332964,0.013755697860756477
AEE,0.35816272842014285,0.05465968578534297,0.009332350681810646,553120.0,-0.020610992216550397,0.012119307225298748
AEP,0.7042221029125124,0.01268061836007739,0.012674371953718361,1206990.0,0.07082938938019154,0.01768715882480465
CNP,0.49265672692275053,0.018017961203009802,0.018931037297975725,1611115.0,-0.015189810736419701,0.02562502389528154
CMS,0.933436913363286,0.0019172646514409308,0.01750152082514316,1110570.0,0.013330552539022324,0.02418002324912255
ED,0.3713775779532951,0.005978451624982117,0.010342080121741894,787415.0,-0.033499081532368864,0.013921506060871558
D,0.4501766073807098,0.051210828683463605,0.010579337007584153,2389650.0,0.03265437469879628,0.013802982750093507
DTE,0.3911557161759856,0.014703310767283817,0.01112922512146114,841441.15,-0.049826201351725496,0.01457599245146679
DUK,0.6882672737365522,0.03641610306615939,0.018486536498433934,2349426.3,-0.013274580808101722,0.021837847347898787
EIX,0.7652743625239635,0.03833367059165149,0.019381307732603548,1509530.0,-0.035281896264197796,0.02435450752657614
ETR,0.35340616822600635,0.05526897343850523,0.011780904239636993,1954140.0,-0.0763335790277225,0.015390767023450047
ES,0.4070902406952888,0.03856743240986438,0.010801753661510113,410400.0,-0.011431045326257012,0.013598772886857013
EXC,0.38247550074913217,0.06707029788573426,0.012465492699028111,3337783.45,-0.033220274341054415,0.016502669766503664
FE,0.4159325296577393,0.008165390223143998,0.012750949846161867,1143260.0,-0.0574074285915539,0.01502043005327075
NEE,0.40204420931425594,0.06984498028997388,0.010442200945604836,7129080.0,-0.021500079970202285,0.013323527285246106
NI,0.5011579224661153,0.04304045550431379,0.013118089534407518,2419175.45,0.007584871945885043,0.01655442173781202
NRG,0.32282592703950314,0.14444444623649333,0.014519412430217883,888010.0,0.049336163396712256,0.012953081565223457
PCG,0.8463996401065166,0.035147919661289606,0.01827011310179787,1556155.0,0.014621758066320127,0.02271490802679882
PNW,0.4875465794084699,0.015085592519547442,0.011189661368900655,441610.0,0.057810223229914325,0.015278980487686888
PPL,0.4995929820194274,0.04129363729436819,0.013549072525931655,1593386.3,0.09047587497642874,0.01709998364894716
PEG,0.47270545015819476,0.21074269204949614,0.011633332803558818,1816730.0,0.11754072032035182,0.015622852993712688
SRE,0.58091917016877,0.017341918977181958,0.014428009472902206,1725940.0,0.006222061753271828,0.017342406545412747
SO,0.32511917954777636,0.03873552724250873,0.010677810300261641,1869215.0,-0.10462757996343588,0.014054141076007887
WEC,0.3630316494084733,0.010794492374073927,0.010187160171918019,788700.0,-0.023553695026398317,0.013049576140057417
XEL,0.6329196297266978,0.03125934326752211,0.012981178621522895,1226270.0,0.0028746855094662197,0.016290376947893814
